k,optimizer,final_val_mse,best_epoch,train_time_s
50,SGD,0.07643626630306244,1,0.8746957778930664
50,Adam,0.04809695854783058,1,1.192681074142456
50,RMSprop,0.04928779602050781,1,0.8246874809265137
50,Adagrad,0.04787271097302437,1,0.7908773422241211
50,AdamW,0.046346623450517654,1,1.214165449142456
50,LBFGS,0.07638254016637802,1,0.868232011795044
75,SGD,0.07660085707902908,1,0.7378742694854736
75,Adam,0.04550966992974281,1,1.1758277416229248
75,RMSprop,0.04538703337311745,1,0.837334394454956
75,Adagrad,0.050785038620233536,1,0.8022034168243408
75,AdamW,0.04682844504714012,1,1.2362098693847656
75,LBFGS,0.07651405036449432,1,0.8734817504882812
100,SGD,0.07721813023090363,1,0.8212895393371582
100,Adam,0.04489489272236824,1,1.2672755718231201
100,RMSprop,0.05198843032121658,1,0.9114804267883301
100,Adagrad,0.04944967105984688,1,0.9065549373626709
100,AdamW,0.04719337821006775,1,1.2369673252105713
100,LBFGS,0.07639973610639572,1,5.213714361190796
